2015/11/6 22:8:16  20000 , 20001 , Sequence : 0, ACK : 25, ack: 0 , fin: 0 
2015/11/6 22:8:16  20000 , 20001 , Sequence : 0, ACK : 26, ack: 0 , fin: 0 
2015/11/6 22:8:16  20000 , 20001 , Sequence : 0, ACK : 26, ack: 0 , fin: 0 
2015/11/6 22:8:16  20000 , 20001 , Sequence : 0, ACK : 27, ack: 0 , fin: 0 
2015/11/6 22:8:16  20000 , 20001 , Sequence : 0, ACK : 27, ack: 0 , fin: 0 
2015/11/6 22:8:16  20000 , 20001 , Sequence : 0, ACK : 28, ack: 0 , fin: 0 
2015/11/6 22:8:17  20000 , 20001 , Sequence : 0, ACK : 29, ack: 0 , fin: 0 
2015/11/6 22:8:17  20000 , 20001 , Sequence : 0, ACK : 29, ack: 0 , fin: 0 
2015/11/6 22:8:17  20000 , 20001 , Sequence : 0, ACK : 30, ack: 0 , fin: 0 
2015/11/6 22:8:17  20000 , 20001 , Sequence : 0, ACK : 31, ack: 0 , fin: 0 
